N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 
163,1981.73,None,None,1986.578582,270.932716,6.264151,6.201535,8.033473000000185,16.180540000000065
164,1991.49,None,None,1994.498413,269.34527,6.272674,6.205942,7.919830999999931,15.953304000000117
165,1999.14,None,None,2002.304434,267.707308,6.281149,6.210327,7.806020999999873,15.725851999999804
166,2008.27,1999.23,None,2009.996363,266.026817,6.289579,6.214693,7.691929000000073,15.497949999999946
167,2015.86,2007.31,None,2017.573812,264.312238,6.297968,6.21904,7.577449000000115,15.269378000000188
168,2024.76,2016.27,None,2025.036274,262.573627,6.306319,6.223371,7.4624619999999595,15.039911000000075
169,2032.12,2024.25,None,2032.38315,260.821966,6.314639,6.227688,7.346875999999838,14.809337999999798
170,2040.73,2033.04,None,2039.613746,259.069875,6.322933,6.231995,7.230596000000105,14.577471999999943
171,2047.84,2040.91,None,2046.727288,257.33121,6.331208,6.236295,7.113542000000052,14.344138000000157
172,2056.12,2049.57,None,2053.722941,255.621566,6.339471,6.240595,6.9956529999999475,14.109195
173,2062.97,2056.26,None,2058.648986,242.228337,6.344353,6.241782,4.926045000000158,11.921698000000106
174,2070.99,2063.81,None,2065.418954,240.586617,6.352587,6.246077,6.769968000000063,11.696013000000221
175,2077.52,2070.33,2073.854,2072.067718,239.028442,6.360839,6.250389,6.648763999999574,13.418731999999636
176,2085.1,2077.67,2081.226,2078.594284,237.575968,6.369121,6.254728,6.5265660000000025,13.175329999999576
177,2091.77,2084.01,2087.42,2084.997753,236.251949,6.377448,6.259104,6.403469000000314,12.930035000000316
178,2099.12,2091.23,None,2093.172779,247.010779,6.389385,6.266756,8.175025999999889,14.578495000000203
179,2105.02,2097.48,None,2099.32022,246.039162,6.39787,6.27126,6.147441000000072,14.32246699999996
180,2112.03,2104.51,None,2105.34443,245.251145,6.406435,6.275831,6.024210000000039,12.17165100000011
181,2117.69,2110.67,None,2111.245563,244.659154,6.415089,6.280478,5.901132999999845,11.925342999999884
182,2124.43,2117.48,None,2117.024102,244.275473,6.42384,6.28521,5.77853899999991,11.679671999999755
183,2129.82,2123.64,None,2122.680898,244.100992,6.432694,6.29003,5.656796000000213,11.435335000000123
184,2136.21,2129.86,None,2128.217169,244.134203,6.44165,6.294943,5.536270999999942,11.193067000000156
185,2140.55,2134.21,None,2133.6345,244.36579,6.450708,6.29995,5.417331000000104,10.953602000000046
186,2146.61,2139.78,None,2138.934813,244.782435,6.459863,6.305048,5.300312999999733,10.717643999999837
187,2150.51,2144.09,None,2144.120303,245.364772,6.469106,6.310233,5.1854900000003,10.485803000000033
188,2156.36,2149.63,None,2149.193417,246.09168,6.478429,6.315501,5.073113999999805,10.258604000000105
189,2160.69,2153.91,None,2154.15675,246.938813,6.487819,6.320843,4.963333000000148,10.036446999999953
190,2166.7,2159.42,None,2159.013018,247.882644,6.497266,6.326252,4.856268,9.819601000000148
191,2171.21,2163.67,None,2163.764974,248.89889,6.506758,6.33172,4.751956000000064,9.608224000000064
192,2176.95,2169.15,None,2168.415377,249.965888,6.516282,6.337239,4.650402999999642,9.402358999999706
193,2181.32,2173.37,None,2172.966939,251.062609,6.52583,6.342802,4.551562000000104,9.201964999999745
194,2186.89,2178.82,None,2177.422301,252.171376,6.53539,6.3484,4.45536200000015,9.006924000000254
195,2191.09,2182.99,None,2181.784005,253.275574,6.544955,6.354027,4.361703999999918,8.817066000000068
196,2196.56,2188.41,None,2186.054482,254.36192,6.554516,6.359678,4.270477000000028,8.632180999999946
197,2204.21,2192.42,None,2190.236043,255.418076,6.564066,6.365346,4.181560999999874,8.452037999999902
198,2209.71,2197.79,None,2194.330869,256.434656,6.5736,6.371027,4.094826000000012,8.276386999999886
199,2213.85,2201.37,None,2198.341018,257.402906,6.583114,6.376717,4.010149000000183,8.104975000000195
200,2216.57,2206.42,None,2202.268415,258.316556,6.592601,6.382412,3.927396999999928,7.937546000000111
201,2220.53,2209.9,None,2206.11487,259.169634,6.602059,6.388108,3.846454999999878,7.773851999999806
202,2225.8,2214.73,None,2209.882064,259.958232,6.611485,6.393802,3.7671940000000177,7.613648999999896
203,2229.4,2218.13,None,2213.571574,260.678457,6.620877,6.399493,3.689510000000155,7.4567040000001725
204,2234.21,2222.86,None,2217.184859,261.328132,6.630231,6.405176,3.6132849999999053,7.30279500000006
205,2236.22,2226.19,None,2220.723281,261.904896,6.639546,6.410851,3.5384220000000823,7.151706999999988
206,2240.98,2230.86,None,2224.188091,262.407822,6.64882,6.416516,3.464809999999943,7.003232000000025
207,2244.42,2234.11,None,2227.580465,262.835674,6.658053,6.422168,3.392374000000018,6.857183999999961
208,2248.99,2238.74,None,2230.901469,263.188425,6.667243,6.427806,3.3210039999999026,6.713377999999921
209,2253.22,2241.9,None,2234.152106,263.46567,6.67639,6.433428,3.250637000000097,6.571641
210,2257.52,2246.51,None,2237.333278,263.668038,6.685493,6.439034,3.1811720000000605,6.4318090000001575
211,2260.81,2249.57,None,2240.445823,263.79574,6.694551,6.444622,3.1125449999999546,6.293717000000015
212,2265.25,2254.17,None,2243.490502,263.849896,6.703563,6.45019,3.0446790000000874,6.157224000000042
213,2269.42,2257.13,None,2246.468009,263.831189,6.712531,6.455738,2.9775070000000596,6.022186000000147
214,2273.62,2261.72,None,2249.378965,263.741119,6.721452,6.461265,2.9109559999997145,5.888462999999774
215,2276.38,2264.62,None,2252.223934,263.580739,6.730328,6.466769,2.8449690000002192,5.755924999999934
216,2280.38,2269.18,None,2255.003413,263.351853,6.739158,6.472249,2.77947899999981,5.624448000000029
217,2282.93,2272.06,None,2257.717843,263.055831,6.747942,6.477705,2.714429999999993,5.493908999999803
218,2287.1,2276.53,None,2260.367606,262.694746,6.75668,6.483135,2.6497629999998935,5.3641929999998865
219,2290.01,2279.39,None,2262.953027,262.270229,6.765372,6.488539,2.585421000000224,5.2351840000001175
220,2294.2,2283.79,None,2265.474382,261.784619,6.774019,6.493915,2.5213549999998577,5.106776000000082
221,2296.95,2286.62,None,2267.931889,261.239792,6.782619,6.499262,2.457507000000078,4.9788619999999355
222,None,2290.96,None,2270.325717,260.638346,6.791174,6.50458,2.3938280000002123,4.85133500000029
223,None,2293.73,None,2272.655994,259.9824,6.799684,6.509867,2.3302770000000237,4.724105000000236
224,None,2298.02,None,2274.922787,259.274824,6.808148,6.515123,2.2667929999997796,4.597069999999803
225,None,2300.72,None,2277.126126,258.517991,6.816567,6.520346,2.203339000000142,4.470131999999921
226,None,2304.97,None,2279.26599,257.715053,6.82494,6.525536,2.1398639999997613,4.343202999999903
227,None,2307.64,None,2281.342327,256.868655,6.833269,6.530691,2.076336999999967,4.216200999999728
228,None,2311.78,None,2283.355028,255.982252,6.841554,6.535811,2.0127010000001064,4.089038000000073
229,None,2314.52,None,2285.303955,255.058785,6.849794,6.540895,1.9489269999999124,3.961628000000019
230,None,2318.39,None,2287.188932,254.10202,6.857989,6.545941,1.8849770000001627,3.833904000000075
231,None,2321.14,None,2289.009738,253.115232,6.866142,6.55095,1.8208060000001751,3.705783000000338
232,None,2324.83,None,2290.766135,252.102439,6.87425,6.55592,1.7563969999996516,3.5772029999998267
233,None,2327.56,None,2292.457842,251.067492,6.882316,6.560851,1.6917069999999512,3.448103999999603
234,None,2331.15,None,2294.084562,250.014535,6.890339,6.565742,1.626720000000205,3.318427000000156
235,None,2333.84,None,2295.645957,248.947876,6.898321,6.570593,1.561395000000175,3.18811500000038
236,None,2337.37,None,2297.141684,247.872011,6.906262,6.575405,1.495726999999988,3.057122000000163
237,None,2339.98,None,2298.571382,246.791373,6.914163,6.580177,1.4296979999999166,2.9254249999999047
238,None,2343.43,None,2299.934671,245.711807,6.922026,6.58491,1.3632889999998952,2.792986999999812
239,None,2345.77,None,2301.231173,244.636895,6.92985,6.589604,1.296502000000146,2.659791000000041
240,None,2348.89,None,2302.460492,243.57365,6.937639,6.594262,1.2293190000000322,2.525821000000178
241,None,2351.14,None,2303.622255,242.525657,6.945394,6.598883,1.1617630000000645,2.3910820000000967
242,None,2354.13,None,2304.716083,241.500499,6.953116,6.60347,1.0938279999995757,2.25559099999964
243,None,2356.31,None,2305.741626,240.50185,6.960809,6.608025,1.025543000000198,2.1193709999997736
244,None,2359.25,None,2306.698544,239.537655,6.968473,6.612551,0.9569179999998596,1.9824610000000575
245,None,2361.36,None,2307.58654,238.611612,6.976113,6.61705,0.8879959999999301,1.8449139999997897
246,None,2364.27,None,2308.405344,237.731745,6.98373,6.621527,0.8188040000000001,1.7067999999999302
247,None,2366.38,None,2309.154745,236.901568,6.991329,6.625985,0.7494010000000344,1.5682050000000345
248,None,2369.2,None,2309.834573,236.128802,6.998911,6.630427,0.6798280000002705,1.429229000000305
249,None,2371.3,None,2310.44473,235.416888,7.006481,6.634859,0.610157000000072,1.2899850000003426
250,None,2374.03,None,2310.985193,234.771403,7.014041,6.639285,0.5404629999998178,1.1506199999998898
251,None,2376.06,None,2311.455998,234.196151,7.021595,6.643709,0.47080499999992753,1.0112679999997454
252,None,2378.7,None,2311.857294,233.694978,7.029146,6.648137,0.4012960000000021,0.8721009999999296
253,None,2380.68,None,2312.189293,233.270222,7.036697,6.652572,0.33199899999999616,0.7332949999999983
254,None,2383.04,None,2312.452312,232.923684,7.04425,6.657019,0.2630189999999857,0.5950179999999818
255,None,2384.91,None,2312.64677,232.655965,7.051809,6.661482,0.1944579999999405,0.4574769999999262
256,None,2387.12,None,2312.773174,232.466639,7.059373,6.665966,0.12640400000009322,0.32086200000003373
257,None,2389.01,None,2312.832129,232.353954,7.066946,6.670472,0.058954999999969004,0.18535900000006222
258,None,2391.01,None,2312.824329,232.315597,7.074528,6.675004,-0.007799999999861029,0.051155000000107975
259,None,2390.79,None,2312.750548,232.347316,7.082119,6.679564,-0.07378100000005361,-0.08158099999991464
260,None,2391.54,None,2312.611656,232.444981,7.089719,6.684153,-0.13889199999994162,-0.21267299999999523
261,None,2391.38,None,2312.408554,232.602778,7.097327,6.688773,-0.20310199999994438,-0.341993999999886
262,None,2392.17,None,2312.142237,232.814575,7.104943,6.693422,-0.26631700000007186,-0.46941900000001624
263,None,2392.06,None,2311.813726,233.073716,7.112564,6.698101,-0.3285110000001623,-0.5948280000002342
264,None,2392.91,None,2311.424085,233.373884,7.120189,6.702809,-0.3896409999997559,-0.7181519999999182
265,None,2392.85,None,2310.974381,233.707472,7.127816,6.707545,-0.4497040000001107,-0.8393449999998666
266,None,2393.74,None,2310.465726,234.068122,7.135442,6.712307,-0.5086550000000898,-0.9583590000002005
267,None,2393.73,None,2309.899216,234.44849,7.143066,6.717094,-0.5665100000001075,-1.0751650000001973
268,None,2394.68,None,2309.275944,234.842626,7.150685,6.721903,-0.6232719999998153,-1.1897819999999228
269,None,2394.71,None,2308.596997,235.243824,7.158297,6.726733,-0.6789469999998801,-1.3022189999996954
270,None,2395.71,None,2307.863439,235.646848,7.165898,6.731581,-0.7335579999999027,-1.4125049999997827
271,None,2395.77,None,2307.076311,236.045858,7.173488,6.736444,-0.7871280000003935,-1.5206860000002962
272,None,2396.82,None,2306.236627,236.436463,7.181063,6.741321,-0.8396839999995791,-1.6268119999999726
273,None,2396.86,None,2305.345373,236.813758,7.188621,6.746208,-0.8912540000001172,-1.7309379999996963
274,None,2397.96,None,2304.403497,237.174201,7.196161,6.751104,-0.9418760000003203,-1.8331300000004376
275,None,2398.01,None,2303.411919,237.513783,7.203681,6.756006,-0.991577999999663,-1.9334539999999834
276,None,2398.97,None,2302.371518,237.82973,7.211178,6.760912,-1.0404010000002017,-2.0319789999998648
277,None,2399.02,None,2301.283145,238.118828,7.218651,6.765819,-1.0883730000000469,-2.1287740000002486
278,None,2399.85,None,2300.147609,238.378879,7.226098,6.770724,-1.1355359999997745,-2.2239089999998214
279,None,2399.9,None,2298.965691,238.607581,7.233519,6.775627,-1.1819180000002234,-2.317453999999998
