N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 ,S_n1e,
155,1916.58,,,1925.7673,260.9398,6.2065,6.1569,8.2364,16.6037,,
156,1926.23,,,1933.8782,260.6778,6.2143,6.1601,8.1109,16.3473,,
157,1934.24,1919.91,,1941.8606,259.8722,6.2227,6.1641,7.9824,16.0933,,
158,1943.67,1929.57,,1949.7171,259.1819,6.2308,6.1678,7.8565,15.8389,,
159,1951.52,1937.25,,1957.4493,258.5453,6.2387,6.1713,7.7322,15.5887,,
160,1960.74,1946.83,,1965.0588,257.9618,6.2464,6.1746,7.6095,15.3416,,
161,1968.37,1954.36,,1972.5473,257.4274,6.2539,6.1777,7.4885,15.098,,
162,1977.3,1963.85,,1979.9167,256.938,6.2611,6.1806,7.3695,14.858,,
163,1984.59,1971.11,,1987.1692,256.4869,6.2682,6.1832,7.2525,14.622,,
164,1993.83,1980.5,,1994.307,256.0667,6.275,6.1857,7.1378,14.3902,,
165,2000.77,1987.94,,2001.3324,255.6685,6.2816,6.1879,7.0254,14.1631,,
166,2009.21,1996.4,,2008.2479,255.2819,6.288,6.1898,6.9155,13.9409,,
167,2015.85,2003.69,,2015.0562,254.8959,6.2942,6.1915,6.8083,13.7238,,
168,2023.88,2011.87,,2021.76,254.497,6.3001,6.193,6.7039,13.5122,,
169,2030.13,2019.05,,2028.3624,254.0663,6.3058,6.1943,6.6023,13.3062,,
170,2037.98,2027.07,2034.292,2034.8661,253.5778,6.3114,6.1955,6.5037,13.106,,
171,2044.36,2034.13,2040.315,2041.2738,252.9864,6.3168,6.1965,6.4077,12.9114,5.92,
172,2051.93,2042.01,2047.474,2047.5868,252.2227,6.3224,6.1978,6.313,12.7207,7.4,13.32
173,2058.11,2048.28,2053.485,2053.7995,250.8672,6.3299,6.2012,6.2128,12.5258,5.75,13.15
174,2065.62,2055.37,2060.352,2059.8969,249.2989,6.3383,6.2057,6.0974,12.3101,7.08,12.83
175,2071.58,2061.44,2066.061,2065.8766,247.8107,6.3468,6.2102,5.9797,12.0771,5.52,12.61
176,2078.82,2068.32,2072.63,2071.7377,246.4237,6.3553,6.2147,5.861,11.8407,6.81,12.33
177,2084.47,2074.21,2078.031,2077.4792,245.1598,6.3638,6.2192,5.7415,11.6026,5.3,12.11
178,2091.52,2080.98,,2083.1005,244.0412,6.3724,6.2238,5.6213,11.3629,,
179,2096.9,2086.79,,2088.6011,243.0888,6.381,6.2284,5.5006,11.1219,,
180,2103.36,2093.35,,2093.9806,242.3217,6.3897,6.2332,5.3795,10.8801,,
181,2108.51,2099.08,,2099.2391,241.7543,6.3986,6.2379,5.2585,10.638,,
182,2114.66,2105.41,,2104.3769,241.3988,6.4075,6.2428,5.1378,10.3963,,
183,2119.43,2111.13,,2109.3948,241.2593,6.4165,6.2477,5.0179,10.1557,,
184,2125.19,2116.96,,2114.2939,241.3346,6.4256,6.2528,4.8991,9.917,,
185,2128.8,2120.68,,2119.0757,241.616,6.4348,6.2579,4.7818,9.6809,,
186,2134.23,2125.63,,2123.7421,242.0898,6.4441,6.2631,4.6664,9.4482,,
187,2137.39,2129.34,,2128.2954,242.7364,6.4535,6.2684,4.5533,9.2197,,
188,2142.65,2134.26,,2132.7379,243.5334,6.463,6.2738,4.4426,8.9958,,
189,2145.78,2137.95,,2137.0724,244.4555,6.4726,6.2793,4.3345,8.7771,,
190,2150.87,2142.86,,2141.3017,245.4779,6.4822,6.2848,4.2292,8.5637,,
191,2153.98,2146.54,,2145.4284,246.5752,6.4918,6.2904,4.1268,8.356,,
192,2158.94,2151.44,,2149.4556,247.7247,6.5015,6.2961,4.0271,8.1539,,
193,2162.11,2155.1,,2153.3858,248.9044,6.5112,6.3018,3.9303,7.9574,,
194,2167.25,2159.99,,2157.222,250.0961,6.5209,6.3075,3.8362,7.7664,,
195,2170.72,2163.62,,2160.9666,251.2825,6.5306,6.3132,3.7446,7.5808,,
196,2175.67,2168.48,,2164.6222,252.45,6.5403,6.319,3.6556,7.4002,,
197,2182.37,2172.01,,2168.1911,253.5859,6.55,6.3248,3.5689,7.2245,,
198,2187.33,2176.81,,2171.6756,254.6807,6.5597,6.3306,3.4845,7.0534,,
199,2188.59,2179.76,,2175.0777,255.7256,6.5693,6.3364,3.4021,6.8866,,
200,2193.52,2184.21,,2178.3994,256.714,6.5789,6.3422,3.3217,6.7239,,
201,2197.06,2187.06,,2181.6426,257.6404,6.5885,6.3481,3.2432,6.565,,
202,2201.73,2191.32,,2184.809,258.5002,6.5981,6.3539,3.1664,6.4096,,
203,2204.8,2194.09,,2187.9002,259.2902,6.6076,6.3597,3.0912,6.2576,,
204,2209.04,2198.27,,2190.9176,260.0077,6.6171,6.3655,3.0174,6.1086,,
205,2211.93,2200.98,,2193.8627,260.6507,6.6265,6.3713,2.9451,5.9625,,
206,2215.97,2205.1,,2196.7368,261.218,6.6359,6.3771,2.874,5.8191,,
207,2218.77,2207.76,,2199.5409,261.7086,6.6453,6.3828,2.8041,5.6782,,
208,2222.77,2211.84,,2202.2763,262.1224,6.6546,6.3886,2.7354,5.5395,,
209,2225.5,2214.43,,2204.9439,262.459,6.6638,6.3943,2.6676,5.4029,,
210,2229.37,2218.49,,2207.5446,262.7188,6.673,6.4001,2.6007,5.2683,,
211,2232.06,2221,,2210.0793,262.9024,6.6822,6.4058,2.5347,5.1355,,
212,2235.91,2225.05,,2212.5489,263.0106,6.6913,6.4114,2.4695,5.0043,,
213,2238.46,2227.49,,2214.9539,263.0441,6.7004,6.4171,2.405,4.8745,,
214,2242.15,2231.54,,2217.295,263.0043,6.7094,6.4227,2.3411,4.7461,,
215,2244.55,2233.9,,2219.5728,262.8923,6.7184,6.4284,2.2778,4.6189,,
216,2248.23,2237.95,,2221.7878,262.7098,6.7274,6.4339,2.215,4.4929,,
217,2250.52,2240.3,,2223.9405,262.4581,6.7362,6.4395,2.1527,4.3677,,
218,2253.98,2244.29,,2226.0313,262.1391,6.7451,6.445,2.0908,4.2435,,
219,2256.07,2246.62,,2228.0604,261.7545,6.7539,6.4505,2.0292,4.1199,,
220,2259.52,2250.56,,2230.0283,261.3064,6.7626,6.456,1.9678,3.997,,
221,2261.7,2252.86,,2231.935,260.7967,6.7713,6.4615,1.9067,3.8746,,
222,2265.16,2256.75,,2233.7809,260.2278,6.78,6.4669,1.8458,3.7526,,
223,2267.59,2259.01,,2235.5659,259.6017,6.7886,6.4723,1.7851,3.6309,,
224,2271.24,2262.86,,2237.2903,258.9211,6.7971,6.4776,1.7244,3.5094,,
225,2273.53,2265.05,,2238.954,258.1884,6.8056,6.4829,1.6637,3.3881,,
226,,2268.88,,2240.5571,257.4063,6.8141,6.4882,1.6031,3.2668,,
227,,2271.09,,2242.0994,256.5778,6.8225,6.4935,1.5423,3.1454,,
