N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 ,,
159,,1948.99,,1955.9183,274.5107,6.2191,6.1604,9.2238,17.4767,,
160,,1958.6,,1963.9413,273.2274,6.228,6.165,8.023,17.2468,,
161,,1966.58,,1971.8521,271.8697,6.2367,6.1696,7.9108,15.9338,,
162,1964.55,1976.31,,1979.651,270.4424,6.2455,6.1741,7.7988,15.7096,,
163,1972.21,1984.04,,1987.3378,268.9504,6.2541,6.1787,7.6869,15.4857,,
164,1981.91,1993.53,,1994.9127,267.4,6.2628,6.1832,7.5749,15.2617,,
165,1989.72,2000.8,,2002.3754,265.7976,6.2713,6.1877,7.4627,15.0376,,
166,1998.58,2009.51,,2009.7256,264.1509,6.2799,6.1921,7.3502,14.8129,,
167,2006.26,2016.78,,2016.963,262.4684,6.2883,6.1966,7.2374,14.5876,,
168,2014.81,2025.29,,2024.0869,260.7602,6.2968,6.201,7.124,14.3613,,
169,2022.38,2032.3,,2031.0969,259.037,6.3052,6.2054,7.0099,14.1339,,
170,2030.77,2040.5,,2037.9921,257.3115,6.3136,6.2098,6.8952,13.9052,,
171,2038.23,2047.22,,2043.764,249.7946,6.3203,6.2127,5.7718,12.6671,,
172,2046.48,2055.08,,2050.434,248.0878,6.3286,6.2171,6.6701,12.4419,,
173,2052.97,2061.56,2057.391,2057.9811,252.2672,6.3386,6.223,7.5471,14.2171,,
174,2060.29,2069.17,2064.8,2064.4088,250.687,6.347,6.2274,6.4277,13.9748,7.5,
175,2066.59,2075.39,2070.756,2069.7353,243.3013,6.3537,6.2303,5.3265,11.7542,5.86,13.36
176,2073.71,2083.1,2077.872,2075.9294,241.8851,6.3621,6.2347,6.1941,11.5206,7.18,13.04
177,2079.83,2089.1,2083.523,2082.9736,246.5247,6.3722,6.2407,7.0442,13.2383,5.64,12.82
178,2086.83,2096.22,,2088.9197,245.4014,6.3807,6.2452,5.9462,12.9903,,
179,2092.87,2101.9,,2094.7439,244.4445,6.3893,6.2498,5.8242,11.7704,,
180,2099.66,2108.64,,2100.446,243.6722,6.3979,6.2544,5.702,11.5262,,
181,2105.61,2114.08,,2106.0259,243.0974,6.4067,6.2592,5.5799,11.282,,
182,2112.18,2120.53,,2111.4842,242.7335,6.4155,6.264,5.4583,11.0382,,
183,2118.12,2125.63,,2116.8216,242.5817,6.4244,6.2688,5.3374,10.7957,,
184,2124.14,2131.7,,2122.0394,242.6408,6.4335,6.2738,5.2177,10.5552,,
185,2128.19,2135.66,,2127.139,242.9019,6.4426,6.2789,5.0996,10.3174,,
186,2133.45,2141.41,,2132.1224,243.3513,6.4518,6.2841,4.9834,10.0831,,
187,2137.47,2144.92,,2136.9919,243.9695,6.4612,6.2893,4.8694,9.8529,,
188,2142.69,2150.5,,2141.7498,244.7348,6.4706,6.2946,4.7579,9.6273,,
189,2146.69,2153.98,,2146.3987,245.6223,6.48,6.3,4.649,9.4069,,
190,2151.9,2159.39,,2150.9415,246.6079,6.4896,6.3055,4.5428,9.1918,,
191,2155.88,2163,,2155.381,247.6668,6.4991,6.3111,4.4394,8.9822,,
192,2161.06,2168.64,,2159.7198,248.7767,6.5087,6.3166,4.3388,8.7783,,
193,2165.01,2172.51,,2163.9608,249.9164,6.5184,6.3223,4.241,8.5798,,
194,2170.18,2177.8,,2168.1066,251.0677,6.528,6.3279,4.1458,8.3868,,
195,2174.09,2181.46,,2172.1599,252.2138,6.5376,6.3336,4.0532,8.1991,,
196,2179.23,2186.73,,2176.123,253.3413,6.5473,6.3393,3.9631,8.0164,,
197,2183.01,2190.54,,2179.9983,254.4378,6.5569,6.3451,3.8753,7.8384,,
198,2188.09,2195.74,,2183.788,255.4936,6.5665,6.3508,3.7897,7.665,,
199,2191.35,2203.08,,2187.4942,256.5002,6.5761,6.3566,3.7062,7.4959,,
200,2196.09,2205.73,,2191.1189,257.4512,6.5856,6.3623,3.6247,7.3309,,
201,2199.25,2209.51,,2194.6638,258.3405,6.5951,6.3681,3.5449,7.1696,,
202,2203.78,2214.47,,2198.1307,259.1644,6.6046,6.3738,3.4669,7.0118,,
203,2206.86,2217.82,,2201.5211,259.9189,6.6141,6.3796,3.3904,6.8573,,
204,2211.31,2222.3,,2204.8365,260.6019,6.6235,6.3853,3.3154,6.7059,,
205,2214.32,2225.39,,2208.0784,261.211,6.6329,6.3911,3.2418,6.5573,,
206,2218.71,2229.72,,2211.2478,261.7454,6.6422,6.3968,3.1695,6.4113,,
207,2221.66,2232.81,,2214.3462,262.2038,6.6515,6.4025,3.0983,6.2678,,
