N ,FRDM,relativistic continuum Hartree–Bogoliubov theory ,exp,
159,,1948.99,,
160,,1958.6,,
161,,1966.58,,
162,1964.55,1976.31,,
163,1972.21,1984.04,,
164,1981.91,1993.53,,
165,1989.72,2000.8,,
166,1998.58,2009.51,,
167,2006.26,2016.78,,
168,2014.81,2025.29,,
169,2022.38,2032.3,,
170,2030.77,2040.5,,
171,2038.23,2047.22,,
172,2046.48,2055.08,,
173,2052.97,2061.56,2057.391,7119
174,2060.29,2069.17,2064.8,7120
175,2066.59,2075.39,2070.756,7116
176,2073.71,2083.1,2077.872,7116
177,2079.83,2089.1,2083.523,7111
178,2086.83,2096.22,,
179,2092.87,2101.9,,
180,2099.66,2108.64,,
181,2105.61,2114.08,,
182,2112.18,2120.53,,
183,2118.12,2125.63,,
184,2124.14,2131.7,,
185,2128.19,2135.66,,
186,2133.45,2141.41,,
187,2137.47,2144.92,,
188,2142.69,2150.5,,
189,2146.69,2153.98,,
190,2151.9,2159.39,,
191,2155.88,2163,,
192,2161.06,2168.64,,
193,2165.01,2172.51,,
194,2170.18,2177.8,,
195,2174.09,2181.46,,
196,2179.23,2186.73,,
197,2183.01,2190.54,,
198,2188.09,2195.74,,
199,2191.35,2203.08,,
200,2196.09,2205.73,,
201,2199.25,2209.51,,
202,2203.78,2214.47,,
203,2206.86,2217.82,,
204,2211.31,2222.3,,
205,2214.32,2225.39,,
206,2218.71,2229.72,,
207,2221.66,2232.81,,
208,2226.01,2237.02,,
209,2228.88,2239.98,,
210,2233.2,2244.13,,
211,2236,2247.09,,
212,2240.31,2251.2,,
213,2243.01,2254.02,,
214,2247.33,2258.23,,
215,2249.95,2260.98,,
216,2254.26,2265,,
217,2256.87,2267.58,,
218,2261.1,2271.46,,
219,2263.69,2273.93,,
220,2267.86,2277.8,,
221,2270.42,2280.24,,
222,2274.54,2283.97,,
223,2277.05,2286.58,,
224,2281.12,,,
225,2283.57,,,
226,2287.61,,,
227,2290.04,,,
228,2293.95,,,
229,2296.46,,,
230,2300.13,,,
231,2302.65,,,
232,2306.16,,,
233,2308.66,,,
234,2312.07,,,
235,2314.54,,,
236,2317.88,,,
237,2320.24,,,
238,2323.52,,,
239,2325.69,,,
240,2328.67,,,
241,2330.77,,,
242,2333.61,,,
243,2335.64,,,
244,2338.42,,,
245,2340.38,,,
246,2343.13,,,
247,2345.08,,,
248,2347.75,,,
249,2349.69,,,
250,2352.26,,,
251,2354.13,,,
252,2356.63,,,
253,2358.48,,,
254,2360.76,,,
255,2362.53,,,
256,2364.66,,,
257,2366.47,,,
258,2368.38,,,
259,2367.95,,,
260,2368.5,,,
261,2368.12,,,
262,2368.72,,,
263,2368.4,,,
264,2369.05,,,
265,2368.78,,,
266,2369.48,,,
267,2369.26,,,
268,2370.01,,,
269,2369.83,,,
270,2370.64,,,
271,2370.49,,,
272,2371.35,,,
273,2371.18,,,
274,2372.09,,,
275,2371.97,,,
276,2372.75,,,
277,2372.63,,,
278,2373.31,,,
279,2373.18,,,
280,2373.82,,,
281,2373.7,,,
282,2374.32,,,
283,2374.18,,,
284,2374.79,,,
285,2374.64,,,
286,2375.24,,,
287,2375.07,,,
288,2375.64,,,
289,2374.91,,,
290,2374.96,,,
